,title,plot
12,JLA Adventures: Trapped in Time (2014) - full transcript,"The Legion of Doom are attempting to use space satellites to freeze the Earth's oceans, creating more land mass at the coastal regions for which they own. The JLA quickly arrive and the two teams engage in a classic battle of wills. This clash leads to Lex Luthor becoming trapped in a glacier of ice. In the 31st century Legion of Superheroes trainees; Dawnstar and Karate Kid are tasked with minding the Legion's museum. Their tour leads them to Lex Luthor's memorial; his body still encased in a large chuck of ice discovered in the 29th century. Karate Kid Inadvertently frees Luthor who secretly explores the museum himself, and soon uncovers the shrine to his greatest nemesis Superman. There he learns of the Kent's involvement in Kal-El's discovery. Luthor following the voices of Dawnstar and Karate Kid takes possession of an hourglass which holds the Time Trapper within. Whoever holds the hourglass controls this entity who is the master of time. Luthor returns to the 21st century, but not without the young Legionaries close behind. The Legion of Doom regroups with a new plan in place; they will prevent the Kent's from ever raising Kal-El, and with no Superman the JLA will cease to exist as well. The JLA arrive but Luthor's efforts prove to be successful, and the Time Trapper causes the time paradoxes to vanish from this reality. Now it's up to Dawnstar and Karate Kid to stop Luthor's plans for worldwide dominance. They find a loophole freeing the Time Trapper from Luthor's control, but now nothing is preventing him from wrecking chaos throughout reality. The JLA return, but well their power combined with Dawnstar and Karate Kid prove to be enough to stop this new menace, or has our time just run out?"
13,Rollover (1981) - full transcript,"Lee Winters, the go-getting widow of a murdered petrochemical company chairman, and Hubbell Smith, a professional sent by the First New York Bank chairman Maxwell Emery to investigate the liquidity of one of their banks, fall for each other and team up to get to the bottom of things. Their investigations lead them to the discovery of an international financial scheme involving her husband's company and the Arab states that could lead to global economic collapse and render U.S. dollar worthless."
14,Douze heures d'horloge (1959) - full transcript,"Escaping from prison is a fine thing and Fourbieux, Serge and Kopetsky, three dangerous criminals, have managed to do just that. But to really regain liberty, they need money and counterfeit identity papers. And they have just twelve hours to get them and board the boat to safety."
15,Nipernaadi (1983) - full transcript,"The story is about an Estonian Don Juan, who actually is a writer, who leaves home in spring and is brought home again in autumn, by his wife."
16,Nadodikkattu (1987) - full transcript,"Dasen (Mohanlal) and Vijayen (Sreenivasen) are peons at a government office who end up with no jobs, a cow, and a heavy bank loan after a series of comical events. In desperation, they decide to go to Dubai and try their luck. But they end up in an unexpected location and are mistaken for smugglers, triggering off a new set of adventures in their luckless lives."
17,Pattanapravesam (1988) - full transcript,"Six months after the events of the prequel (Nadodikattu), C.I.D. officers Ramdas (Mohanlal) and Vijayan (Srinivasan) are called to Kerala to find the murderer of a police officer. The two incompetent and clueless men find themselves facing a dangerous crime syndicate that deals in drug trafficking. In addition, Anandan Nambiar (Thilakan), the man they put behind bars six months before, escapes from jail."
18,Akka Thangai (1969) - full transcript,no plot found
19,Smokin' on the Moon (2017) - full transcript,"Two young men, Sota and Rakuto make a living by working at a bar while illegally trafficking marijuana. They're not gangsters, more like wanna-be gangsters. Lacking motivation and a plan, they're at the bottom of the bucket and always tripping over their past. But they are gradually choosing different paths as Rakuto meets a single mother and in order to support his new family, he is involved in more risky business run by a nutty and cruel yakuza. After years of silence, Sota is visited by a young woman with an unexpected news."
20,The Little Vampire 3D (2017) - full transcript,"The story of Rudolph, a thirteen year old vampire, whose clan is threatened by a notorious vampire hunter. He meets Tony, a mortal of the same age, who is fascinated by old castles, graveyards and - vampires. Tony helps Rudolph in an action and humor packed battle against their adversaries, and together they save Rudolph's family and become friends."
21,National Theatre Live: Medea (2014) - full transcript,"Medea, a woman stricken with grief after learning that her ex-husband has decided to remarry is faced with impossible choices in this exhilarating and breathtaking adaptation of Medea."
22,Blind (2023) - full transcript,"When a twist of fate leaves Gia blind, she must summon every ounce of courage to rebuild her life. But when she becomes the sole witness to a heinous crime, she unwittingly enters a deadly game of cat and mouse with a dangerous cr..."
23,Storytelling (2001) - full transcript,"Storytelling is comprised of two separate stories set against the sadly comical terrain of college and high school, past and present. Following the paths of its young hopeful/ troubled characters, it explores issues of sex, race, celebrity and exploitation"
24,Pookkal Vidum Thoodhu (1983) - full transcript,no plot found
25,The Play of God (1997) - full transcript,"The film directed by Jayaraj,is an adaptation of William Shakespeare's play Othello against the backdrop of the Hindu Theyyam performance.Suresh Gopi plays the role of Kannan Perumalayan, the equivalent to Othello. Lal plays Paniyan, the equivalent to Iago.Manju Warrier - Thamara, the Desdemona version and Biju Menon plays Kanthan, Cassio's version. The story revolves around Paniyan's attempt to create disputes in the relationship between kannan and kanthan for which he uses a forged affair between Thamara and Kanthan. . The film received national awards for best actor and director category"
26,Chemmeen (1965) - full transcript,"Karuthamma, the daughter of a Hindu fisherman, falls in love with a Muslim fish trader. However, social prejudices seem to ruin their love life and invite the wrath of their communities. Watch the full movie Chemmeen online, only on Eros Now."
27,The Scorpion Monster (2020) - full transcript,no plot found
28,Chakravyuham: The Trap (2023) - full transcript,"Siri, a business partner and a housewife, was found with her throat slit. The investigation officer tries to solve the case. Can he figure out who killed her and why?"
29,Bewafaa (2005) - full transcript,"Anjali, living in Canada with her parents, hides her relationship to the musician Raja from her parents. When her sister dies during the birth of twins, she abandons her love, marries the widower Aditya and moves to New Delhi to become the new mother of her sister's children. Three years later, when Raja visits Delhi on his concert tour their love inflames again."
30,Inumo Kuwanedo Charlie Wa Warau (2022) - full transcript,"Tamura Yujiro and Hiyori have been married for four years. They look like a happily married couple, but, Hiyori secretly badmouths her husband on social media page ""Husband Death Note."""
31,Moi et les hommes de 40 ans (1965) - full transcript,"Caroline, who is in her early twenties, decides to only date men who are in their forties or older."
32,Beyond the Edge (2013) - full transcript,Tenzing Norgay and Edmund Hillary's monumental and historical ascent of Mt. Everest in 1953 - an event that stunned the world and defined a nation.
33,Romeo & Radhika (2016) - full transcript,"In The Movie Romeo and Radhika, Romeo Represents naughtiness in Love and Radhika Represents The Sincerity of Love but both of them represent the Art Of Love in modern era which has the feeling to go extreme to become one. People fall in love with their best friends in real life all the time. Have You Ever Proposed Your Best Friend ??? Sometimes the sweetest love stories are ones that start with a friendship and ends in eternal love. R&R is a journey about how Rahul wins Radhika's heart with great help of his best buddies though this journey has lot of turns and twist in it creates a great story to watch. Radhika represents today's modern girl with great value system of the gujarati family exhibit the perfect mix of a true friend and a very responsible personality in it. All the characters are unique and will surely connect to some or the other way to our all audience."
34,Xterminator and the AI Apocalypse (2023) - full transcript,no plot found
35,The Makeover of Ashton Croyd (2023) - full transcript,"In this pseudo-documentary, the Berlin based photographer Lisa Jonrel follows the homeless street musician Ashton Croyd for 6 months to observe him transform into a star."
36,Girl Gone Bad (2022) - full transcript,"When 16-year old Samantha has the house to herself over the weekend, she plans a romantic night for her and her girlfriend. However, when an intruder makes his way into her home, it's fight or flight on a night that will change he..."
37,As Certain as Death (2023) - full transcript,"A camping trip and forced intervention becomes a battle for survival, as five friends must fight not only their own demons but an evil in the woods."
38,Fireworks (1997) - full transcript,"Nishi, a police detective, has had to deal with a series of emotionally devastating events over the recent past. His only child, then preschool age, died two years ago. His wife, currently in the hospital, has been diagnosed with a terminal case of leukemia. And he develops a case of guilt when his colleague Horibe, during a stakeout which Nishi himself was supposed to be on but who, on Horibe's suggestion, was visiting his wife in the hospital instead at the time, gets shot point blank. That guilt is only exacerbated when Horibe, who as a result becomes paraplegic, is abandoned by his wife and child, with Horibe himself at a loss with what to do with his life as being a police was his sole identity. As a means to cope, Nishi becomes increasingly reckless, which affects the way he does his police work. That recklessness extends to his personal life when his wife's doctor recommends that she go home, Nishi, in the process, borrowing money from the yakuza to make ends meet. That recklessness also leads to him taking matters into his own hands as he tries to make his and his wife's life together, for however long it will last, a series of small yet special moments."
39,Escaping Paradise (2022) - full transcript,A young couples' anniversary trip turns deadly in a foreign land.
40,You're Not Alone (2023) - full transcript,A man is on a plane when he sees his daughter being stalked via the Home security system
41,Himmatwala (2013) - full transcript,"An honest temple priest takes on more than he can handle when he bears witness to a murder and gives evidence in a court of law against a powerful landlord in his village. The landlord bribes his way to freedom and engineers a ploy to ruin the priests reputation and his status among his peers in the village. Ashamed of his tarnished reputation the priest commits suicide,and leaves his wife and young children to face the atrocities of the evil landlord. The son flees the village and travels to Mumbai to make a life, but returns years later to avenge the shame caused to his family. Thi"
42,Graduation (2016) - full transcript,"Romeo Aldea (49), a physician living in a small mountain town in Transylvania, has raised his daughter Eliza with the idea that once she turns 18, she will leave to study and live abroad. His plan is close to succeeding - Eliza has won a scholarship to study psychology in the UK. She just has to pass her final exams - a formality for such a good student. On the day before her first written exam, Eliza is assaulted in an attack that could jeopardize her entire future. Now Romeo has to make a decision. There are ways of solving the situation, but none of them using the principles he, as a father, has taught his daughter."
43,Swades (2004) - full transcript,"Set in modern day India, Swades is a film that tackles the issues that development throws up on a grass root level. It is to this India, which is colorful, heterogeneous and complex that Mohan Bhargava (Shah Rukh Khan), a bright young scientist working as a project manager in NASA, returns to on a quest to find his childhood nanny. The film uses the contrast between the highly developed world of NASA, which has been at the forefront of advances in space research, and this world back home in India, which is at the crossroads of development. Mohan's simple quest becomes the journey that every one of us goes through in search of that metaphysical and elusive place called ""home""."
44,Princess (2008) - full transcript,"A few years after their graduation from Princeton, Louis Baxter, who retired having sold his dot.com business, takes in college-buddy William, who desperately nears the end of his trust fund after several fully failed career-attempts. Louis takes William along to L.A.'s weirdest society event, the annual endangered animals benefit. This year, to raise more money she auctions a single dinner, which William bids his last capital on. He wins, according to Louis a shrewd business networking opportunity. But he's love-spelled by Ithaca, while she believes him to be the seeker, a long-awaited savior for the castle's most secret reality."
45,Tiger Within (2020) - full transcript,"A story featuring an unlikely friendship between a homeless teen and a Holocaust survivor, sparking larger questions of fear, forgiveness, healing and world peace, starring multiple Emmy Award-winning actor, Ed Asner."
46,Der kleine Medicus - Geheimnisvolle Mission im Körper (2014) - full transcript,Nano and Lily turn to Rappel the Rabbit to navigate a maze and stop a mysterious illness.
47,A Place to Fight For (2023) - full transcript,"Follows Myriam, an eco-activist who is fighting against the construction of a dam in a forest, and Greg, a police officer who goes undercover to gather intelligence on this movement of protesters."
48,Svengali (1931) - full transcript,"Sinister music maestro Svengali can control the actions of women through hypnotism and his telepathic powers. When a pupil he has seduced announces she has left her husband for him, he uses his powers to cause her suicide and promptly forgets her. He meets a beautiful model, Trilby, and becomes infatuated with her, but she, in turn, falls for a young artist called Billee who also loves her. One day Svengali hypnotizes Trilby to cure her headache, but also examines her upper palate and decides it is an ideal cavity for great singing. He convinces her to fake her suicide, so Billee and friends will forget her, and goes on a singing tour with her. Svengali uses his powers to make her sing wonderfully and Madame Svengali, as Trilby is now known, becomes a sensation throughout Europe. But Billee discovers the ruse and begins to follow the pair, upsetting Svengali enough to have him cancel performances too frequently, so they no longer can perform in Europe. They go to Egypt, but Billee relentlessly follows."
49,Drug (1988) - full transcript,"Looking for the money for a drink, an alcoholic gets a Newfoundland dog as a present from a stranger at a bird fair. He'll soon find out that the animal is not only able to speak, but to get him to give up drinking as well. Now he's determined to get rid of the dog, but that won't be an easy task."
50,My Name Is Nobody (2000) - full transcript,"Nameless is an orphan and falls for blind model Bitter. He mastered the technique of gambling and becomes famous. However, his buddy Chun set him up."
51,My Flying Wife (1991) - full transcript,"A woman who is in debt to loan sharks is about to commit suicide to escape her debts. Two ghosts are waiting to take her soul when she dies, but at the last moment she is rescued by a member of the loan shark gang who is in love with her. The ghosts, angry at being deprived of a soul, take their vengeance on the gang."
52,It's Now or Never (1992) - full transcript,"The story of an aging gigolo, his two rebellious daughters and their friend ""Little Bun""."
53,"Ah Fai, the Dumb (1997) - full transcript","Many plots are interwoven.  Feeble-minded Fai-26 is pampered by Millie, his still-attractive mother.  Little Ping and his sister-by-adoption, Minmin, are Fai's loyal friends.  Their father Uncle Ying, who was once Millie's suitor, is reluctant to take Fai as a boarder so that Millie can marry Philip.  Minmin is happy selling pirated tapes on Hong Kong's notorious Portland Street, but Little Ping, whom she loves, aims for a career in the performing arts.  Mandarin as well as English subtitles."
54,Hu dan nu er hong (1990) - full transcript,no plot found
55,1982: Greatest Geek Year Ever! (2022) - full transcript,"A remarkable new epic documentary spotlighting the pop culture milestones of 1982 including notable motion pictures, TV, music and video games of that seminal year."
56,Dawn (2023) - full transcript,"Follows the dark, twisted history of Dawn Longchamp and her family, along with the Cutler and Booth families."
57,Tarla (2023) - full transcript,"Explores Tarla Dalal's journey and legacy as an iconoclast during the early liberalisation period, empowering women through the art of cooking."
58,Out of Season (2004) - full transcript,"It is out of season and the temporary employee Pierre of an amusement park seaside has all his savings stolen by the crook Simeon Guant, a friend of his girlfriend Kelly Phillips. Kelly is daughter of the owner of the park, Michael Philipps, who is married with Eileen Phillips. Eileen cheats her husband with Simeon, and they plot to kill Michael simulating a burglary and get his life insurance. Pierre, without any money, associates to the owner of a bar, the former thief Harry Barlow, who teaches him how to burglar. The reunion of these six characters has no happy ending."
59,A Royal Christmas Crush (2023) - full transcript,"Ava accepts the opportunity of a lifetime to work at the Royal Ice Hotel which leads her to a surprise whirlwind romance with the most important guest of all, the Royal Prince himself."
